id,latitude,longitude,corridor,corridor_final,corridor_confidence,corridor_agreement,corridor_source
FKID000031,12.907814,77.6006561,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000032,12.8955737,77.5993711,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000033,12.92757,77.5832051,Non-corridor,Non-corridor,0.89,0,unresolved
FKID000034,13.044697,77.5828546,ORR North 2,ORR North 2,1.0,1,original
FKID000035,12.9666885,77.6616396,Non-corridor,Non-corridor,0.6966666666666667,0,unresolved
FKID000036,12.9789228,77.5644032,Magadi Road,Magadi Road,1.0,1,original
FKID000037,12.8636494,77.6725849,Non-corridor,Non-corridor,0.848618145035532,0,unresolved
FKID000038,12.9219483,77.6002467,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000039,12.9666597,77.661556,Non-corridor,Non-corridor,0.6966666666666667,0,unresolved
FKID000040,12.946469,77.6986754,ORR East 1,ORR East 1,1.0,1,original
FKID000041,12.9936273,77.5844677,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000042,12.9465079,77.6986339,ORR East 1,ORR East 1,1.0,1,original
FKID000043,13.0467058,77.5036495,Non-corridor,Tumkur Road,0.935,1,predicted
FKID000044,13.0166142,77.5054464,Non-corridor,Tumkur Road,0.8882056015280178,1,predicted
FKID000045,13.0085677,77.6131497,Non-corridor,Airport New South Road,0.9083333333333333,1,predicted
FKID000046,13.0309717,77.5364661,Tumkur Road,Tumkur Road,1.0,1,original
FKID000047,13.0262806,77.5442344,Tumkur Road,Tumkur Road,1.0,1,original
FKID000048,12.9938639,77.5844374,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000049,12.9188682,77.6687736,ORR East 1,ORR East 1,1.0,1,original
FKID000050,12.9546127,77.6423399,IRR(Thanisandra road),IRR(Thanisandra road),1.0,1,original
FKID000051,12.936133,77.5187044,Mysore Road,Mysore Road,1.0,1,original
FKID000052,12.9694079,77.7006346,ORR East 2,ORR East 2,1.0,1,original
FKID000053,12.9849833,77.5883633,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000054,13.0127301,77.5545135,West of Chord Road,West of Chord Road,1.0,1,original
FKID000055,12.9842019,77.7336286,Non-corridor,Non-corridor,0.8400000000000001,0,unresolved
FKID000057,12.9848257,77.7527586,Non-corridor,Non-corridor,0.8583333333333334,0,unresolved
FKID000058,12.9932986,77.5837571,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000059,12.9937523,77.5842482,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000060,12.9938868,77.5841876,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000061,12.9368467,77.6928653,ORR East 1,ORR East 1,1.0,1,original
FKID000062,13.0126766,77.5581246,Non-corridor,Non-corridor,0.6993372749374043,1,unresolved
FKID000063,12.9513113,77.4994888,Non-corridor,Mysore Road,0.8049999999999999,1,predicted
FKID000064,13.0160964,77.5068555,Non-corridor,Tumkur Road,0.8441124479561681,1,predicted
FKID000065,12.9807501,77.6028238,CBD 1,CBD 1,1.0,1,original
FKID000066,12.9165983,77.583705,Non-corridor,ORR West 1,0.9133333333333333,1,predicted
FKID000067,13.0198619,77.6562235,Non-corridor,ORR North 1,0.9966666666666666,1,predicted
FKID000068,13.0191848,77.6555127,ORR North 1,ORR North 1,1.0,1,original
FKID000069,12.9740913,77.5452252,West of Chord Road,West of Chord Road,1.0,1,original
FKID000070,12.9740971,77.5449011,West of Chord Road,West of Chord Road,1.0,1,original
FKID000071,12.9688926,77.569795,Non-corridor,Mysore Road,0.995,1,predicted
FKID000072,12.9838737,77.5286068,Magadi Road,Magadi Road,1.0,1,original
FKID000073,12.9595586,77.5162093,Non-corridor,Non-corridor,0.4751361117090528,1,unresolved
FKID000074,12.9511354,77.5739687,Non-corridor,Mysore Road,0.8658104107489895,1,predicted
FKID000075,13.0192138,77.5395595,Non-corridor,Tumkur Road,0.9966666666666666,1,predicted
FKID000076,12.9161187,77.5856548,Non-corridor,ORR West 1,0.9666666666666667,1,predicted
FKID000077,12.9284355,77.6811918,ORR East 1,ORR East 1,1.0,1,original
FKID000078,13.0753282,77.4370383,Non-corridor,Non-corridor,0.655,1,unresolved
FKID000080,12.9449039,77.4949618,Non-corridor,Mysore Road,0.88,1,predicted
FKID000081,12.9873133,77.6163481,Non-corridor,Non-corridor,0.6565453957435717,0,unresolved
FKID000082,12.969418,77.7006526,ORR East 2,ORR East 2,1.0,1,original
FKID000083,12.9613232,77.5644194,Mysore Road,Mysore Road,1.0,1,original
FKID000084,12.959419,77.5165897,Non-corridor,Non-corridor,0.4778421719704357,1,unresolved
FKID000085,12.9431035,77.6220445,Non-corridor,IRR(Thanisandra road),0.8768418478916435,1,predicted
FKID000086,12.8482637,77.6713737,Non-corridor,Non-corridor,0.6895805814254978,1,unresolved
FKID000087,12.96672,77.6093294,Mysore Road,Mysore Road,1.0,1,original
FKID000088,13.0253205,77.6400845,ORR North 1,ORR North 1,1.0,1,original
FKID000089,12.8561783,77.6645205,Non-corridor,Non-corridor,0.8031899403358176,0,unresolved
FKID000090,12.9641056,77.5825203,Mysore Road,Mysore Road,1.0,1,original
FKID000091,12.974757,77.5657216,Magadi Road,Magadi Road,1.0,1,original
FKID000092,12.9640011,77.5836093,Mysore Road,Mysore Road,1.0,1,original
FKID000093,12.9480512,77.5343585,Mysore Road,Mysore Road,1.0,1,original
FKID000094,12.9245654,77.6739287,ORR East 1,ORR East 1,1.0,1,original
FKID000095,13.0078566,77.5920655,Non-corridor,Non-corridor,0.7633333333333333,1,unresolved
FKID000096,13.0035862,77.5721203,Non-corridor,Non-corridor,0.5401132325053543,1,unresolved
FKID000097,12.9854129,77.5941024,CBD 2,CBD 2,1.0,1,original
FKID000098,12.9272622,77.5806774,Non-corridor,ORR West 1,0.8922173882122113,1,predicted
FKID000099,13.0022504,77.5722138,Non-corridor,Non-corridor,0.6788143768837488,1,unresolved
FKID000100,12.9586724,77.5629452,Mysore Road,Mysore Road,1.0,1,original
FKID000101,13.0369808,77.5895122,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000102,12.9169077,77.5737827,Non-corridor,ORR West 1,0.9983333333333333,1,predicted
FKID000103,12.9047066,77.6016042,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000104,12.9047995,77.6017019,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000105,12.9774707,77.5457303,West of Chord Road,West of Chord Road,1.0,1,original
FKID000106,12.904781,77.6015741,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000107,12.9238693,77.5536044,ORR West 1,ORR West 1,1.0,1,original
FKID000108,12.9585656,77.5932824,Non-corridor,Mysore Road,0.8316666666666667,1,predicted
FKID000109,12.9601533,77.5633429,Mysore Road,Mysore Road,1.0,1,original
FKID000110,12.9578001,77.5631189,Non-corridor,Mysore Road,0.9983333333333333,1,predicted
FKID000111,12.95836,77.5776317,Non-corridor,Mysore Road,0.9966666666666666,1,predicted
FKID000112,12.9187567,77.621505,ORR East 1,ORR East 1,1.0,1,original
FKID000113,13.0331905,77.5901915,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000114,12.9360494,77.6154975,Non-corridor,Hosur Road,0.9366666666666666,1,predicted
FKID000115,12.9784088,77.6285392,Old Madras Road,Old Madras Road,1.0,1,original
FKID000116,12.9873237,77.6037885,Non-corridor,Non-corridor,0.503747690967874,1,unresolved
FKID000117,13.0190323,77.654465,ORR North 1,ORR North 1,1.0,1,original
FKID000118,13.0446713,77.5828869,ORR North 2,ORR North 2,1.0,1,original
FKID000119,12.9119892,77.6254956,Hosur Road,Hosur Road,1.0,1,original
FKID000120,12.9893579,77.5064443,Magadi Road,Magadi Road,1.0,1,original
FKID000121,13.0152581,77.5639687,Tumkur Road,Tumkur Road,1.0,1,original
FKID000122,12.9392829,77.5596125,Non-corridor,Non-corridor,0.7833333333333333,1,unresolved
FKID000123,12.9614398,77.5600867,Mysore Road,Mysore Road,1.0,1,original
FKID000124,12.9194445,77.6215536,Hosur Road,Hosur Road,1.0,1,original
FKID000125,13.0501731,77.4947759,Non-corridor,Non-corridor,0.7666666666666666,1,unresolved
FKID000126,12.8400906,77.6764868,Non-corridor,Non-corridor,0.8048324868814327,0,unresolved
FKID000127,13.042636,77.5147881,Tumkur Road,Tumkur Road,1.0,1,original
FKID000128,12.9110914,77.6001308,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000129,12.9516567,77.500185,Non-corridor,Mysore Road,0.845,1,predicted
FKID000130,12.9698017,77.7319617,Non-corridor,Non-corridor,0.865,0,unresolved
FKID000131,13.114305,77.60655,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000132,12.9900159,77.5025425,Magadi Road,Magadi Road,1.0,1,original
FKID000133,13.0424443,77.5147257,Tumkur Road,Tumkur Road,1.0,1,original
FKID000134,12.9216832,77.6199372,Hosur Road,Hosur Road,1.0,1,original
FKID000135,13.0467369,77.575502,ORR North 2,ORR North 2,1.0,1,original
FKID000136,13.0427379,77.5892891,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000137,13.0308555,77.5359082,Tumkur Road,Tumkur Road,1.0,1,original
FKID000138,13.0161873,77.7093516,Non-corridor,ORR East 2,0.825,1,predicted
FKID000139,12.9693576,77.7006406,ORR East 2,ORR East 2,1.0,1,original
FKID000140,12.9625526,77.5916298,Non-corridor,Mysore Road,0.9683333333333333,1,predicted
FKID000141,12.9893817,77.5927844,Non-corridor,Non-corridor,0.7802490737017437,0,unresolved
FKID000142,12.938565,77.6979933,ORR East 1,ORR East 1,1.0,1,original
FKID000143,12.9690624,77.5872736,Mysore Road,Mysore Road,1.0,1,original
FKID000144,12.961311,77.55932,Mysore Road,Mysore Road,1.0,1,original
FKID000145,12.9146696,77.5640607,ORR West 1,ORR West 1,1.0,1,original
FKID000146,12.9173038,77.5882958,Non-corridor,Non-corridor,0.6275163282739535,1,unresolved
FKID000147,12.9144686,77.5650362,ORR West 1,ORR West 1,1.0,1,original
FKID000148,12.9144815,77.5650493,ORR West 1,ORR West 1,1.0,1,original
FKID000149,12.9113626,77.5999548,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000150,12.9353705,77.5182037,Mysore Road,Mysore Road,1.0,1,original
FKID000151,12.9216444,77.5940415,Non-corridor,Non-corridor,0.7633333333333333,0,unresolved
FKID000152,12.9246541,77.6497438,ORR East 1,ORR East 1,1.0,1,original
FKID000153,12.9145147,77.5649877,ORR West 1,ORR West 1,1.0,1,original
FKID000154,12.9145447,77.5650079,ORR West 1,ORR West 1,1.0,1,original
FKID000155,12.9635928,77.6263774,Non-corridor,Non-corridor,0.7516666666666667,0,unresolved
FKID000156,13.0310785,77.5357035,Tumkur Road,Tumkur Road,1.0,1,original
FKID000157,12.8700974,77.6533824,Hosur Road,Hosur Road,1.0,1,original
FKID000158,12.9762232,77.6016656,Old Madras Road,Old Madras Road,1.0,1,original
FKID000159,12.9211317,77.6627683,ORR East 1,ORR East 1,1.0,1,original
FKID000160,12.9832059,77.5766759,Non-corridor,Non-corridor,0.7316666666666667,1,unresolved
FKID000161,12.9793286,77.5105419,Non-corridor,Magadi Road,0.957327590439859,1,predicted
FKID000162,12.94819783,77.53467664,Mysore Road,Mysore Road,1.0,1,original
FKID000163,13.022765,77.6014354,Non-corridor,Non-corridor,0.6950000000000001,0,unresolved
FKID000164,12.9943131,77.617972,Non-corridor,Non-corridor,0.5628852157988973,1,unresolved
FKID000165,13.0071299,77.5267687,Non-corridor,Non-corridor,0.6432556375301036,1,unresolved
FKID000166,13.1511992,77.620242,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000167,13.0264,77.544019,Tumkur Road,Tumkur Road,1.0,1,original
FKID000168,13.1212507,77.6179465,Non-corridor,Bellary Road 2,0.985,1,predicted
FKID000169,12.9895389,77.5057545,Magadi Road,Magadi Road,1.0,1,original
FKID000170,12.9245044,77.6502426,ORR East 1,ORR East 1,1.0,1,original
FKID000171,12.9664142,77.5125512,Non-corridor,Non-corridor,0.46565453258697,0,unresolved
FKID000172,12.9758786,77.5643384,Magadi Road,Magadi Road,1.0,1,original
FKID000173,12.9641027,77.5700324,Mysore Road,Mysore Road,1.0,1,original
FKID000174,12.9124656,77.5805324,Non-corridor,ORR West 1,0.985,1,predicted
FKID000175,12.9228317,77.6575101,ORR East 1,ORR East 1,1.0,1,original
FKID000176,13.0378641,77.5222897,Tumkur Road,Tumkur Road,1.0,1,original
FKID000177,12.9583476,77.5547336,Mysore Road,Mysore Road,1.0,1,original
FKID000178,12.8895087,77.6408236,Hosur Road,Hosur Road,1.0,1,original
FKID000179,12.8895337,77.640687,Hosur Road,Hosur Road,1.0,1,original
FKID000180,12.9847423,77.574706,Non-corridor,Non-corridor,0.49497212351350417,0,unresolved
FKID000181,13.0229252,77.5099725,Non-corridor,Tumkur Road,0.9983333333333333,1,predicted
FKID000182,12.8894616,77.6407007,Hosur Road,Hosur Road,1.0,1,original
FKID000183,13.0436683,77.6067467,ORR North 1,ORR North 1,1.0,1,original
FKID000184,13.0145688,77.5835164,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000185,13.0186759,77.5588615,Tumkur Road,Tumkur Road,1.0,1,original
FKID000186,12.9494883,77.5368741,Mysore Road,Mysore Road,1.0,1,original
FKID000187,13.0229482,77.601028,Non-corridor,Non-corridor,0.6950000000000001,0,unresolved
FKID000188,12.9928917,77.5854867,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000189,12.9625233,77.6415686,Old Airport Road,Old Airport Road,1.0,1,original
FKID000190,13.0976738,77.5990251,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000191,13.1151883,77.6067482,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000192,13.07835,77.502205,Non-corridor,Non-corridor,0.6223920136898033,1,unresolved
FKID000193,12.984191,77.5972223,CBD 2,CBD 2,1.0,1,original
FKID000194,12.97447,77.5492,West of Chord Road,West of Chord Road,1.0,1,original
FKID000195,12.9842204,77.597142,CBD 2,CBD 2,1.0,1,original
FKID000196,13.0488954,77.4970171,Non-corridor,Non-corridor,0.7666666666666666,1,unresolved
FKID000197,12.9891874,77.5070709,Magadi Road,Magadi Road,1.0,1,original
FKID000198,12.9160564,77.6160829,Non-corridor,Non-corridor,0.6364476045987646,1,unresolved
FKID000199,13.16120295,77.62691818,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000200,12.9532283,77.538385,West of Chord Road,West of Chord Road,1.0,1,original
FKID000201,12.9844178,77.5970285,CBD 2,CBD 2,1.0,1,original
FKID000202,12.8569988,77.5889807,Bannerghata Road,Bannerghata Road,1.0,1,original
FKID000203,12.9446407,77.5969852,Non-corridor,Non-corridor,0.5577970221939772,0,unresolved
FKID000204,13.0407502,77.5174141,Tumkur Road,Tumkur Road,1.0,1,original
FKID000205,13.0414238,77.545608,ORR North 2,ORR North 2,1.0,1,original
FKID000206,12.95983785,77.64811735,Old Airport Road,Old Airport Road,1.0,1,original
FKID000207,13.0446065,77.5828293,ORR North 2,ORR North 2,1.0,1,original
FKID000208,12.9197329,77.5835635,Non-corridor,ORR West 1,0.8422679395429209,1,predicted
FKID000209,12.9875849,77.5182251,Magadi Road,Magadi Road,1.0,1,original
FKID000210,12.9886918,77.519831,Magadi Road,Magadi Road,1.0,1,original
FKID000211,12.9595376,77.5557817,Mysore Road,Mysore Road,1.0,1,original
FKID000212,12.993901,77.6190564,Non-corridor,Non-corridor,0.5655702167325906,1,unresolved
FKID000213,12.9988047,77.5839954,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000214,12.8885722,77.640446,Hosur Road,Hosur Road,1.0,1,original
FKID000215,12.9858066,77.6051199,Non-corridor,Non-corridor,0.6867966119826361,1,unresolved
FKID000216,13.0450698,77.6440587,Non-corridor,Non-corridor,0.6716666666666666,0,unresolved
FKID000217,12.9541849,77.5435568,Mysore Road,Mysore Road,1.0,1,original
FKID000218,12.9679023,77.5680413,Non-corridor,Mysore Road,0.9966666666666666,1,predicted
FKID000219,12.9895932,77.5723117,Non-corridor,Non-corridor,0.6583333333333333,0,unresolved
FKID000220,13.0522674,77.4879449,Non-corridor,Non-corridor,0.7633333333333333,1,unresolved
FKID000221,13.0446065,77.5828293,ORR North 2,ORR North 2,1.0,1,original
FKID000222,12.8733932,77.6251719,Non-corridor,Hosur Road,0.9966666666666666,1,predicted
FKID000223,12.8732959,77.6248843,Non-corridor,Hosur Road,0.9933333333333334,1,predicted
FKID000224,12.9013118,77.6322397,Hosur Road,Hosur Road,1.0,1,original
FKID000225,12.972653,77.6185064,Old Madras Road,Old Madras Road,1.0,1,original
FKID000226,13.0379483,77.6257684,Hennur Main Road,Hennur Main Road,1.0,1,original
FKID000227,12.8980705,77.5460958,Non-corridor,ORR West 1,0.8400000000000001,1,predicted
FKID000228,12.9415222,77.5603107,Non-corridor,Non-corridor,0.7166666666666667,1,unresolved
FKID000229,12.965034,77.5747048,Mysore Road,Mysore Road,1.0,1,original
FKID000230,12.9904041,77.5993848,Non-corridor,Non-corridor,0.7466666666666667,1,unresolved
FKID000231,12.9915317,77.7140583,Non-corridor,ORR East 2,0.8300000000000001,1,predicted
FKID000232,12.9450066,77.5274017,ORR West 1,ORR West 1,1.0,1,original
FKID000233,13.114945,77.60684,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000234,13.0176948,77.553788,Tumkur Road,Tumkur Road,1.0,1,original
FKID000235,12.9694199,77.7006686,ORR East 2,ORR East 2,1.0,1,original
FKID000236,12.8985649,77.5435672,Non-corridor,ORR West 1,0.8333333333333333,1,predicted
FKID000237,12.8893347,77.5379823,Non-corridor,Non-corridor,0.701929304110503,1,unresolved
FKID000238,12.9514566,77.6214627,Non-corridor,Non-corridor,0.68259383538785,0,unresolved
FKID000239,12.9514586,77.6214633,Non-corridor,Non-corridor,0.6825992025741765,0,unresolved
FKID000240,12.9513718,77.621369,Non-corridor,Non-corridor,0.684726123041264,0,unresolved
FKID000241,12.9643399,77.5855341,Mysore Road,Mysore Road,1.0,1,original
FKID000242,12.9800987,77.6655755,Non-corridor,Non-corridor,0.715,1,unresolved
FKID000243,12.9441328,77.5010682,Non-corridor,Mysore Road,0.8816666666666666,1,predicted
FKID000244,12.8785528,77.6720521,Non-corridor,Non-corridor,0.8766666666666667,0,unresolved
FKID000245,12.9643404,77.5855854,Mysore Road,Mysore Road,1.0,1,original
FKID000246,12.8785573,77.6719048,Non-corridor,Non-corridor,0.8766666666666667,0,unresolved
FKID000247,13.044562,77.583011,ORR North 2,ORR North 2,1.0,1,original
FKID000248,13.0317076,77.5355328,Tumkur Road,Tumkur Road,1.0,1,original
FKID000249,13.0451384,77.5070153,Tumkur Road,Tumkur Road,1.0,1,original
FKID000250,12.9474732,77.5340694,Mysore Road,Mysore Road,1.0,1,original
FKID000251,12.850847,77.6685139,Non-corridor,Non-corridor,0.738049852684484,0,unresolved
FKID000252,13.0623222,77.459163,Non-corridor,Non-corridor,0.675,1,unresolved
FKID000253,12.860655,77.4311029,Non-corridor,Mysore Road,0.8583333333333334,1,predicted
FKID000254,13.0355513,77.5265219,Tumkur Road,Tumkur Road,1.0,1,original
FKID000255,12.92335,77.58296,Non-corridor,Non-corridor,0.6829609987365606,1,unresolved
FKID000256,12.9390583,77.6946217,ORR East 1,ORR East 1,1.0,1,original
FKID000257,12.8509801,77.6601903,Non-corridor,Non-corridor,0.7384796911150571,0,unresolved
FKID000258,13.0817559,77.5482378,Non-corridor,Non-corridor,0.5260611942531449,0,unresolved
FKID000259,12.9891497,77.5077437,Magadi Road,Magadi Road,1.0,1,original
FKID000260,13.0145576,77.5696436,Non-corridor,Non-corridor,0.79,1,unresolved
FKID000261,12.9232313,77.5904837,Non-corridor,Non-corridor,0.7716666666666667,0,unresolved
FKID000262,13.0357481,77.6283566,ORR North 1,ORR North 1,1.0,1,original
FKID000263,12.8196613,77.6877212,Non-corridor,Non-corridor,0.8722550018580442,0,unresolved
FKID000264,12.9697862,77.7499252,Non-corridor,Non-corridor,0.87,0,unresolved
FKID000265,12.9228111,77.7365506,Non-corridor,Non-corridor,0.7966666666666666,0,unresolved
FKID000266,12.971535,77.5941929,Mysore Road,Mysore Road,1.0,1,original
FKID000267,12.96652735,77.60810502,Mysore Road,Mysore Road,1.0,1,original
FKID000268,12.926187,77.6772301,ORR East 1,ORR East 1,1.0,1,original
FKID000269,13.0077773,77.5838076,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000270,12.9750878,77.5481342,West of Chord Road,West of Chord Road,1.0,1,original
FKID000271,13.029877,77.5377738,Tumkur Road,Tumkur Road,1.0,1,original
FKID000272,12.9340271,77.6892659,ORR East 1,ORR East 1,1.0,1,original
FKID000273,12.8353407,77.6791817,Non-corridor,Non-corridor,0.8364634746405304,0,unresolved
FKID000274,12.9163498,77.6122067,Non-corridor,Hosur Road,0.8015049911261305,1,predicted
FKID000275,12.9948294,77.6040054,Non-corridor,Non-corridor,0.69,0,unresolved
FKID000276,12.9634765,77.6415675,Old Airport Road,Old Airport Road,1.0,1,original
FKID000277,13.0775201,77.5924027,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000278,13.0445011,77.5830561,ORR North 2,ORR North 2,1.0,1,original
FKID000279,12.9754467,77.548252,West of Chord Road,West of Chord Road,1.0,1,original
FKID000280,12.960507,77.5575071,Mysore Road,Mysore Road,1.0,1,original
FKID000281,12.9963786,77.584919,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000282,12.9976941,77.584432,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000283,12.9616717,77.6308433,Non-corridor,Non-corridor,0.7401214866350941,1,unresolved
FKID000284,13.075025,77.4360233,Non-corridor,Non-corridor,0.655,1,unresolved
FKID000285,12.9536214,77.5428369,Non-corridor,Mysore Road,1.0,1,predicted
FKID000286,12.92001766,77.66562279,ORR East 1,ORR East 1,1.0,1,original
FKID000287,12.967049,77.6102824,Non-corridor,Non-corridor,0.6966666666666667,0,unresolved
FKID000288,13.07838,77.427995,Non-corridor,Non-corridor,0.655,0,unresolved
FKID000289,13.067431,77.4509417,Non-corridor,Non-corridor,0.655,1,unresolved
FKID000290,13.0565314,77.5934723,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000291,13.0252215,77.5854385,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000292,13.0624083,77.459675,Non-corridor,Non-corridor,0.675,1,unresolved
FKID000293,13.0525889,77.4882603,Non-corridor,Non-corridor,0.7633333333333333,1,unresolved
FKID000294,12.9827733,77.5622665,Non-corridor,Non-corridor,0.7833333333333333,1,unresolved
FKID000295,13.0517275,77.4890823,Non-corridor,Non-corridor,0.765,1,unresolved
FKID000296,12.8764512,77.6715527,Non-corridor,Non-corridor,0.8716666666666666,0,unresolved
FKID000297,12.8912876,77.6260666,Non-corridor,Hosur Road,0.9983333333333333,1,predicted
FKID000298,13.0519799,77.489572,Non-corridor,Non-corridor,0.765,1,unresolved
FKID000299,12.9520875,77.5407653,Mysore Road,Mysore Road,1.0,1,original
FKID000300,13.0300435,77.5375531,Tumkur Road,Tumkur Road,1.0,1,original
FKID000301,12.9595784,77.6492766,Old Airport Road,Old Airport Road,1.0,1,original
FKID000302,13.0426261,77.5148623,Tumkur Road,Tumkur Road,1.0,1,original
FKID000303,12.9557117,77.6916217,Old Airport Road,Old Airport Road,1.0,1,original
FKID000304,12.9379783,77.5214433,Mysore Road,Mysore Road,1.0,1,original
FKID000305,13.010814,77.5836806,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000306,13.04648015,77.50384754,Non-corridor,Tumkur Road,0.935,1,predicted
FKID000307,13.0765895,77.5923254,Bellary Road 2,Bellary Road 2,1.0,1,original
FKID000308,12.8856454,77.541635,Non-corridor,Non-corridor,0.7313697250175434,1,unresolved
FKID000309,12.9357223,77.5134413,Mysore Road,Mysore Road,1.0,1,original
FKID000310,12.92071012,77.66535994,ORR East 1,ORR East 1,1.0,1,original
FKID000311,13.055969,77.4760833,Non-corridor,Non-corridor,0.7566666666666666,1,unresolved
FKID000312,12.9694578,77.7006343,ORR East 2,ORR East 2,1.0,1,original
FKID000313,13.0200506,77.7094059,Non-corridor,ORR East 2,0.8216666666666667,1,predicted
FKID000314,12.9556427,77.545929,Mysore Road,Mysore Road,1.0,1,original
FKID000315,12.9137365,77.6774246,Non-corridor,ORR East 1,0.8966666666666667,1,predicted
FKID000316,13.0009179,77.612603,Non-corridor,Airport New South Road,0.8235034657456451,1,predicted
FKID000317,12.9137307,77.6775918,Non-corridor,ORR East 1,0.8966666666666667,1,predicted
FKID000318,12.9964726,77.5845948,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000319,13.026353,77.544093,Tumkur Road,Tumkur Road,1.0,1,original
FKID000320,12.9616777,77.6305228,Non-corridor,Non-corridor,0.7398813399258473,1,unresolved
FKID000321,12.9061591,77.5856052,ORR West 1,ORR West 1,1.0,1,original
FKID000322,12.9964326,77.5846186,Bellary Road 1,Bellary Road 1,1.0,1,original
FKID000323,13.0471823,77.5687914,ORR North 2,ORR North 2,1.0,1,original
